NAMA SATUAN PENDIDIKAN;BID_IPS;BING_IPS;MAT_IPS;EKO;SOS;GEO;BID_IPA;BING_IPA;MAT_IPA;FIS;KIM;BIO;
SMA VIANNEY;73;74,75;50,75;67,08;65,62;56,31;84,32;85,84;68,40;77,50;64,72;63,00;
SMA WESTIN;72,29;72,29;61,07;58,93;66,15;66,15;81,67;86,67;46,25;43,75;64,59;64,59;
SMA WIDYA MANGGALA;59,79;50,84;32,26;57,22;54,54;45,43;70,41;60,46;34,49;36,70;41,50;49,26;
SMA WIJAYA;58,15;40,46;29,81;39,38;54,32;68,67;64,44;42,11;28,89;44,38;38,33;42,83;
SMA WIJAYA KUSUMA;63,67;47,47;33,96;45,63;61,67;48,44;73,06;48,97;35,38;38,38;47,25;48,72;
SMA WIJAYAKUSUMA;58,20;40,40;32,75;46,88;43,50;44;63,23;43,54;30,77;35,00;36,25;49,29;
SMA YADIKA 1;63,31;50,72;32,99;51,50;57,83;54;69,13;53,56;32,93;32,78;47,81;44,15;
SMA YADIKA 2;68,04;53,02;34,10;50,94;59,57;60,37;72,15;58,00;36,45;35,00;47,19;46,97;
SMA YADIKA 5;70,86;58,95;33,15;51,63;61,63;63;74,04;60,96;37,42;37,50;48,27;52,41;
SMA YAPERJASA;64,56;51,81;30,39;42,50;54,95;49,50;73,16;52,71;30,81;31,00;35,00;49,69;
SMA YAPPENDA;59,59;44,53;30,74;44,13;53,08;48,48;66,15;45,94;32,24;34,11;39,38;40,92;
SMA YASPORBI;72,32;71,32;38,58;75;64,80;57,45;74,71;79,65;42,79;40,00;61,79;54,17;
SMA YMIK II;59,78;44,98;32;42,19;48,96;45,17;66,81;48,68;31,70;41,07;37,81;41,25;
SMA YP-BDN;68,60;48,80;34,50;52,83;57,33;78;71,60;52,80;32,50;37,50;50,98;49,38;
SMA YP IPPI;65,93;42,93;32,59;50,36;60,82;57;72,16;54,05;31,38;32,00;38,41;45,29;
SMA YP. IPPI PETOJO;62,62;44,69;31,45;47,50;52,93;38,33;68,26;45,85;32,12;36,67;42,50;47,21;
SMA YUSHA;55,71;44,57;29,64;38,75;49,09;44,20;56,82;45,36;30,11;42,65;42,65;38,30;
SMAIT BUAHATI ISLAMIC SCHOOL;74,30;63,70;45,63;76,25;71,83;80,50;83,16;82,00;53,95;62,08;63,06;73,75;
SMAK IPEKA INTEGRATED CHRISTIAN SCHOOL;87;94;66,25;56,25;75,88;75,88;85,33;94,89;78,06;88,13;75,00;88,13;
SMAK TIRTA MARTA BPK PENABUR;77,54;81,60;42,21;65,36;70,81;62;83,78;90,67;62,22;80,63;74,00;67,87;
THE GANDHI MEMORIAL INTERNATIONAL SCHOOL;55,38;81,69;50,96;46,73;58,69;58,69;64,46;87,46;42,21;39,17;55,83;54,25;
